#|num|weight|mean|covariance matrix|
|0|776.4966609975091|298.9939775795885 287.6482271650092 271.1469988535791|7.650282302281851 1.9679634293487611 -0.5454749447672075 1.9679634293487611 11.361899589859295 -6.719545197085418 -0.5454749447672071 -6.719545197085416 10.585996721292068|
|1|1267.638292460444|306.820757335568 271.3067726217356 277.55308075590824|32.04936666239527 -13.700704974523763 -6.980235842961278 -13.700704974523767 15.08707022619439 5.5085969169145965 -6.980235842961278 5.5085969169145965 7.65928177472523|
|2|600.9413583663347|316.7145012114521 263.53165288446786 244.7202666633926|6.311775911931254 -7.083358369055324 -4.35419048451049 -7.083358369055324 17.508673996628513 12.784121023623888 -4.354190484510491 12.784121023623886 13.997937004739573|
|3|872.4030870071973|291.64397479693065 277.7328680296981 232.89197873142325|28.689596003030836 -1.3735569273408839 -10.185220553595519 -1.3735569273408839 8.363919362308174 -0.1200761679291622 -10.185220553595519 -0.1200761679291622 6.514121980906864|
|4|819.2501693370784|298.55800304760913 276.69057079455484 290.19380412046024|3.9202693743008608 -2.6524307110216707 -3.540724814143187 -2.6524307110216707 8.712018463751136 7.490528076270292 -3.5407248141431875 7.490528076270292 22.808380662149062|
|5|1252.5870461307688|311.28187949477393 260.6749586768971 271.8156315018452|4.750189457525456 1.1843868146067595 1.6592796594546355 1.1843868146067595 22.255284540482855 -5.430049932197998 1.6592796594546357 -5.430049932197998 17.25543219744281|
|6|749.2155796494723|296.39491765364363 295.1583603289928 281.57781063627726|12.068411224094055 -4.808880826264718 0.33137436967282063 -4.808880826264718 6.7500936347434735 -1.5587968097087785 0.33137436967282086 -1.5587968097087783 8.698938315337365|
|7|706.558446074372|315.12581745753477 269.32900469022024 257.0911564653887|6.228261099248778 0.5083879076524418 -4.47730951562102 0.5083879076524418 5.739528989055815 1.0348906576251893 -4.47730951562102 1.0348906576251893 14.232759954236574|
|8|865.7719962330626|290.18421044315903 284.1132189696979 275.5153607547046|6.9278487725723235 1.072787238531992 -3.0896993788552556 1.072787238531992 6.249309902651026 -3.1134507739936788 -3.0896993788552556 -3.1134507739936783 18.5935382345042|
|9|1293.0029621851168|288.3027156710852 295.41759268002886 273.4107625531267|7.249028530646704 0.0028973204764670413 -0.5190211459159169 0.0028973204764670135 17.721521728531787 0.3554790455366099 -0.5190211459159169 0.3554790455366093 19.391116921040823|
|10|643.4544744742998|317.624231616688 273.9957061496809 287.8743257378198|15.250670066280636 4.5133557722918844 1.9783003335313853 4.513355772291884 5.564281680863713 4.012153987885938 1.9783003335313856 4.012153987885939 7.013559526331705|
|11|974.4865992903343|305.96006011893303 267.5700772067983 236.35116160724226|40.95817366102663 -43.58487828009145 9.290394133576838 -43.58487828009145 53.92966425940693 -11.775612671812354 9.29039413357684 -11.775612671812354 4.601415673972269|
|12|1260.4503265975738|297.41190814420145 298.00639123812454 270.6092762123132|15.533437958836597 -2.0141639163051615 8.423814441014507 -2.0141639163051615 8.629295843437124 0.39000699476240586 8.423814441014507 0.3900069947624061 14.542054383490488|
|13|1366.7168535050303|302.36896625076685 284.11853212683764 281.43190704345017|38.01084372673335 -25.841986048127247 18.15982801234383 -25.84198604812725 26.464636255020267 -13.500359685970366 18.15982801234383 -13.500359685970366 14.9768656175647|
|14|1030.0148810013495|317.21419560674826 264.22240078215526 281.15151646667994|7.359293110527491 0.04731958295587502 -0.8873585384741844 0.04731958295587546 9.336118228476721 2.8608803745189655 -0.887358538474184 2.860880374518965 15.416646884790815|
|15|1119.1451375576314|307.05537259132274 275.9977795444637 291.21666019345156|8.383411112905247 7.596258719500177 6.7410301907152785 7.596258719500177 32.19858540100061 11.817621187247775 6.7410301907152785 11.817621187247774 10.729592749749248|
|16|1194.0457291326939|306.3190908959431 260.5282397573824 283.487121358609|6.749600544797291 0.5614746163594186 0.6088794530948166 0.5614746163594188 24.353575413629784 6.328034252577606 0.6088794530948165 6.3280342525776065 10.357407939979845|
